,id,value
0,id_0,23.377109480986043
1,id_1,50.84901309268906
2,id_2,17.711352506843557
3,id_3,24.769133196072033
4,id_4,9.96683092544461
5,id_5,29.94056322212924
6,id_6,32.995265422660694
7,id_7,14.557566917715594
8,id_8,39.78449922110474
9,id_9,28.624782018553113
10,id_10,32.61923148105877
11,id_11,48.452064861109235
12,id_12,31.322906268505474
13,id_13,34.411869104386156
14,id_14,23.63864952941498
15,id_15,11.871475670686564
16,id_16,43.56679042210405
17,id_17,19.986436211230014
18,id_18,16.882269400075465
19,id_19,17.704375079654163
20,id_20,13.779876742065806
21,id_21,23.824490116662208
22,id_22,31.9381321958488
23,id_23,9.66192957955981
24,id_24,48.02405661603422
25,id_25,37.23054482012487
26,id_26,24.29759849329966
27,id_27,9.036840521502203
28,id_28,25.18013402333291
29,id_29,30.425212598087686
30,id_30,16.779649921359805
31,id_31,11.526881434212688
32,id_32,14.985370245542835
33,id_33,7.951735118934771
34,id_34,16.31142718999436
35,id_35,32.65766698918314
36,id_36,17.430761042163134
37,id_37,24.191015680452267
38,id_38,6.832757675462972
39,id_39,49.42863760146413
40,id_40,38.787509971864466
41,id_41,15.133640808118471
42,id_42,41.44578740997969
43,id_43,16.443182795028726
44,id_44,36.78669751105931
45,id_45,42.38391963016842
46,id_46,51.06069094283805
47,id_47,33.6544098487318
48,id_48,42.343372637240805
49,id_49,35.27152971828274
50,id_50,25.975586154963647
51,id_51,21.575350986473175
52,id_52,34.90054715735074
53,id_53,22.61616936378366
54,id_54,32.134281740638926
55,id_55,33.36312080969973
56,id_56,22.040005733078086
57,id_57,19.259066938867093
58,id_58,31.508304890163156
59,id_59,26.704845918229097
60,id_60,13.732440835451559
61,id_61,20.113683174892447
62,id_62,26.6305125439407
63,id_63,45.52728495792776
64,id_64,41.268511146445476
65,id_65,23.18660276658524
66,id_66,34.8236437450607
67,id_67,44.898669352690504
68,id_68,24.29421689984956
69,id_69,33.00469969387386
70,id_70,53.024948685559615
71,id_71,44.01227980326574
72,id_72,37.000009103019096
73,id_73,10.815667270153126
74,id_74,11.877382666587023
75,id_75,30.917797487371253
76,id_76,50.41400664414938
77,id_77,4.231592086330238
78,id_78,37.794581071648864
79,id_79,34.18877495717547
80,id_80,8.219865636913827
81,id_81,19.3899026954881
82,id_82,8.004509292464892
83,id_83,28.857890907003195
84,id_84,10.565246153631666
85,id_85,5.8816328443980055
86,id_86,14.741950915436556
